user_address,symbol,amount,amount_usd,price_usd
0xb3abe0777aa9685941e54744e704378b4b33eeaa,USDC,49812481.491058000000000000,49798062.77,0.99971054
0xd8495b95a3a6a85f4e3baa003e8b7ed1ed85562d,WETH,17520.690400609787000000,49494880.35,2824.93892778
0x99926ab8e1b589500ae87977632f13cf7f70f242,USDC,48156007.026818000000000000,48142067.79,0.99971054
0xce9d00377edc72ddfbf0c9e0f007b614e9257c69,WETH,16965.089159992323000000,47925340.78,2824.93892778
0xfa4fc4ec2f81a4897743c5b4f45907c02ce06199,WETH,16942.037145208255000000,47860220.25,2824.93892778
0x94def848159b30605afe0c1d1ac43d6d588b940a,USDT,45146441.055008000000000000,45146153.47,0.99999363
0x64471d103a7f77262529383d53bdd28b260b1ae8,USDC,44978656.662818000000000000,44965637.14,0.99971054
0x2e15d7aa0650de1009710fdd45c3468d75ae1392,WETH,15764.861616739770000000,44534771.27,2824.93892778
0x58e70d8bed174643fb5f177e3f0ab2cfe689487d,WETH,15723.942668472087000000,44419177.74,2824.93892778
0xefad748654ec2c072b8735c010ae2fdea04aaf7d,USDC,44004080.645602000000000000,43991343.22,0.99971054
0x8ad459048c798b7435887184d81d7dd8cf2ab818,WETH,15543.218797515257000000,43908643.84,2824.93892778
0xb561b1e79e448bc3a7ac4dc377eeecbc99505f60,RLUSD,43357946.090855660000000000,43342423.95,0.99964200
0xc35bc7e918bb4c0159296d9749dc59de605b4b93,WETH,15297.546323500917000000,43214634.11,2824.93892778
0x3af4a49c8e2fcaf33fd3389543b80d320fcc9091,WETH,14656.537111140065000000,41403822.23,2824.93892778
0x839a8de8e0aff8021a0aec2e42ef1f229ec99235,USDC,40507299.846808000000000000,40495574.60,0.99971054
0x531e08e19e54ea655822d62f160e27af727b6e9f,USDe,40502301.783271685000000000,40471349.52,0.99923579
0x22a65f880bf67b6b62aa6cca4f28b6ee085ee6ba,WETH,14166.332019946061000000,40019022.79,2824.93892778
0x6142eb927529974c5cded66dafc57cb5aaaf73ab,USDe,40000018.775810410000000000,39969450.36,0.99923579
0xf2df969f59b2c86e4b230da88918cdebcfc4ccbc,WETH,14119.703639071770000000,39887300.46,2824.93892778
0xdf2609ec3d2e07a79d2e25e52960e75250bd9aaa,PYUSD,39317064.780584000000000000,39303708.77,0.99966030
0xc89657cc18c66ffc01d758ed42e61f28c6be43aa,USDe,38832027.759161590000000000,38802351.94,0.99923579
0x0a0fa2b02ae73bd9eb4c1e086458099eca42476e,USDT,38333355.339273000000000000,38333111.16,0.99999363
0xc86c66c430d40523a126795b9f03242740583d12,USDT,38271984.148560000000000000,38271740.36,0.99999363
0x989b96317735d70a7762bf96c034b203713aae18,USDC,38119610.519907000000000000,38108576.42,0.99971054
0xaaf9f14f20145ad50db369e52b2793bfeb18a45b,USDe,37907949.782061280000000000,37878980.15,0.99923579
0x3af077300bbfbdd697e74b07c761bbcf18ea1971,WETH,13000.000000000000000000,36724206.06,2824.93892778
0xe84a061897afc2e7ff5fb7e3686717c528617487,USDC,36362350.858424000000000000,36351825.41,0.99971054
0xbe55fdda3a56055b7a3b9c99893be53fd111237a,WETH,12614.221582055952000000,35634405.59,2824.93892778
0x4f962bb0ea0785c539f8ab52a17f1f873ddc355f,WETH,12570.458741793062000000,35510778.24,2824.93892778
0x9938a09fea37ba681a1bd53d33ddde2debec1da0,USDC,34543219.498817000000000000,34533220.62,0.99971054
0xc9db4e8d3d940c16b800d433d168d2f651025642,USDC,34353229.382737000000000000,34343285.50,0.99971054
0x033c208a1626b78e8258ad3e8ee0e6d923cbe709,WBTC,390.515885140000000000,34035303.64,87154.72259016
0x63950cfd75e2290a3581b6b0e39c86bc11697d5b,USDe,34045550.385771670000000000,34019532.44,0.99923579
0x7055b17a1b911b6b971172c01ff0cc27881aea94,WETH,12003.266392023740000000,33908494.49,2824.93892778
0xa028bef2835cab01d39dc3ff34abc46a2f665bb4,USDT,33228794.961816000000000000,33228583.29,0.99999363
0xd48573cda0fed7144f2455c5270ffa16be389d04,WETH,11471.932047453025000000,32407507.42,2824.93892778
0x6a8018b0ebc017a6532d96be8cff9f3f9ed16f8b,WETH,11462.686617113957000000,32381389.64,2824.93892778
0x4352cc849b33a936ad93bb109afdec1c89653b4f,RLUSD,32005931.219429650000000000,31994473.10,0.99964200
0x85f431344c0798b87337bfbbaf482e3e9c23e857,WETH,11308.987802497090000000,31947199.88,2824.93892778
0xeb2a1125f1e14822d0708464b795baad6b9038ce,USDT,31801087.902072000000000000,31800885.33,0.99999363
0x3b3f03015b479b734f41b77dd72851e676d0f406,USDC,31495056.420032000000000000,31485939.86,0.99971054
0xd1a2d9df5db842da2ee81075fa441602b2352915,WETH,11130.301208365285000000,31442421.16,2824.93892778
0xf4eee06aea972a13b77f326a185bf29d893ae674,WETH,10750.515092752017000000,30369548.58,2824.93892778
0xa260b049ddd6567e739139404c7554435c456d9e,WETH,10593.895647067250000000,29927108.21,2824.93892778
0xc81b6381bf13ac1dd80ad44775958c91bf962502,WETH,10395.284461424631000000,29366043.74,2824.93892778
0x77a56647fba0eb60abb7395574cded565f6f94f6,USDC,29170699.150893000000000000,29162255.40,0.99971054
0x2572223f5df9b5889e99554152e91e32c8e8a03b,USDT,29149616.797855000000000000,29149431.11,0.99999363
0xc92478912779758b8f757230ec816d3a47c52fe2,WETH,10236.564125736148000000,28917668.49,2824.93892778
0x8c0824ffccbe9a3cdda4c3d409a0b7447320f364,USDT,28487311.594221000000000000,28487130.13,0.99999363
0xc1914872a1dd8e7a39ac6d5ee0d6fa9fcecf001e,WETH,9980.639116948127000000,28194695.97,2824.93892778
0x2269ce2753e2967dd5322a56188c3d24435b3588,USDT,28161819.203426000000000000,28161639.81,0.99999363
0x9e30a1cb1bad5f4a4915390fee7b77213e36625b,USDC,27457832.796598000000000000,27449884.85,0.99971054
0x96f49d0e9724dfd8780fa667ac37a993f005cb94,PYUSD,27384588.555243000000000000,27375286.01,0.99966030
0xf368d43f148e1803ec793670183b0ca6a07d3898,USDT,27330429.605002000000000000,27330255.51,0.99999363
0x962bdd83c3943fe08b62101fd9f9a8b923a0b475,WETH,9598.187396662059000000,27114293.21,2824.93892778
0x5130985ce6a0e54f369712cd6f2fdec084026e54,USDC,26757945.504429000000000000,26750200.15,0.99971054
0x08c6f91e2b681faf5e17227f2a44c307b3c1364c,USDT,26269749.056719000000000000,26269581.72,0.99999363
0xd007058e9b58e74c33c6bf6fbcd38baab813cbb6,WETH,9000.011611968454000000,25424483.15,2824.93892778
0xe67112647b7aea8b7490f27e1c75208868138df2,USDT,25378349.856922000000000000,25378188.20,0.99999363
0x630fd551ec58a6ea3b65714df737d294a1936ca1,WETH,8901.978417002903000000,25147545.36,2824.93892778
0xe84a061897afc2e7ff5fb7e3686717c528617487,USDT,25032628.609434000000000000,25032469.15,0.99999363
0xee2826453a4fd5afeb7ceffeef3ffa2320081268,WETH,8776.271144053944000000,24792430.00,2824.93892778
0x372cae7fa19b81a9786a9081704ea1e2dad576b7,USDC,24317340.164367000000000000,24310301.27,0.99971054
0x91cfbce901ebec39e5fcd4416893a5632b6da004,USDC,23924883.897271000000000000,23917958.60,0.99971054
0x04b35d8eb17729b2c4a4224d07727e2f71283b73,USDT,23596549.619480000000000000,23596399.31,0.99999363
0xbcaf70ef342378755e82c9f374225604f04a36e3,WETH,8228.450652212970000000,23244870.56,2824.93892778
0x9fb1750da6266a05601855bb62767ebc742707b1,USDT,22578939.030604000000000000,22578795.20,0.99999363
0x931433324e6b0b5b04e3460ef3fb3f78dda3c721,USDT,22481516.900447000000000000,22481373.69,0.99999363
0x9fb1750da6266a05601855bb62767ebc742707b1,USDC,22191653.229014000000000000,22185229.63,0.99971054
0x94e96e1b9b8c7ecf8ddb37a379e6bbeffa057c93,USDC,22018396.785844000000000000,22012023.34,0.99971054
0xfec2adfa296fe189f53089fd5ccd8c28dd559cf2,USDT,21715303.471900000000000000,21715165.15,0.99999363
0x7546966122e636a601a3ea4497d3509f160771d8,USDT,21117664.340732000000000000,21117529.82,0.99999363
0xab5a28b6ca2d1e12fe5acc7341352d5032b74438,USDC,20911910.668956000000000000,20905857.51,0.99971054
0x66466428990e0f42a4c54f64bee0db6bf2336de5,USDT,20835988.376499000000000000,20835855.65,0.99999363
0x26a58af72eff53ddaa064a9df86e8ec3184bee95,USDC,20800020.744984000000000000,20793999.97,0.99971054
0x96f49d0e9724dfd8780fa667ac37a993f005cb94,USDT,20607408.870929000000000000,20607277.60,0.99999363
0xe40d278afd00e6187db21ff8c96d572359ef03bf,USDT,20538524.177131000000000000,20538393.35,0.99999363
0x011b09fa6a0a508e0f11e4a97c50eed4d2c1a85c,USDC,20476365.781777000000000000,20470438.69,0.99971054
0xb0449ec1a8a60f95322617d6ed52e1ba1a7beb49,WETH,7218.022590354578000000,20390473.00,2824.93892778
0x277786ef4715e0b7b4ecd7932157898389f78ddd,WETH,7165.753948633905000000,20242817.28,2824.93892778
0x3b94e9fa105551b700e4965bf13db3153bb26557,USDT,20226671.754865000000000000,20226542.91,0.99999363
0x90d443b372b2a1212dda03c9b56c4e622688e981,USDT,20202371.666975000000000000,20202242.98,0.99999363
0x64471d103a7f77262529383d53bdd28b260b1ae8,USDT,20022741.664587000000000000,20022614.12,0.99999363
0x28355886a65848488cf0a3646fca395db0a762b1,USDe,20000139.972175390000000000,19984855.67,0.99923579
0x99926ab8e1b589500ae87977632f13cf7f70f242,USDe,20000000.000000000000000000,19984715.80,0.99923579
0xb7387e11060d14fe5db69880f24ce66d1f8cfe1a,USDC,19714242.367235000000000000,19708535.88,0.99971054
0xa3bcf996fd1cdd1f357b5a1eed0a39ceaaebd422,USDC,19427845.520609000000000000,19422221.94,0.99971054
0xfe99cc4664a939f826dbeb545c1aad4c89ee737a,USDC,19352021.859909000000000000,19346420.22,0.99971054
0xff43c5727fbfc31cb96e605dfd7546eb8862064c,USDC,18836003.636012000000000000,18830551.37,0.99971054
0x4c09dd7c598b12c781c4b5d74d245a1784a2e148,WETH,6654.005956101038000000,18797160.45,2824.93892778
0x7576b7a1d278e3004dd37bbeb90e0b08ca70a1b9,WETH,6556.690973470837000000,18522251.57,2824.93892778
0xae5a33bddc2944f372142a84cd5c4f78c990ee78,DAI,18458510.419557143000000000,18450739.39,0.99957900
0xb99a2c4c1c4f1fc27150681b740396f6ce1cbcf5,USDT,18000000.000018000000000000,17999885.34,0.99999363
0xb2c763b898a246d6562d7566fab4fd1dad586934,USDC,17940296.476402000000000000,17935103.48,0.99971054
0x834bd54eae7edd442637375b9be9ba2a9ad28389,USDC,17667298.821237000000000000,17662184.84,0.99971054
0x741aa7cfb2c7bf2a1e7d4da2e3df6a56ca4131f3,USDT,17624239.126625000000000000,17624126.86,0.99999363
0xb5c98c0d2861d39c538aff4e87cee946ffa1adf4,USDT,17619432.109949000000000000,17619319.87,0.99999363
0xefe7e52a3dc060a6e1d08a9486fe550ff369e464,USDC,17538334.828422000000000000,17533258.18,0.99971054
0x6b2563826bc176fda2099c47567f447fc32cc5b7,USDT,17519862.690589000000000000,17519751.09,0.99999363
0x7c697d6cff279f3f9c2401d0ea2ac7e7ede0e2c3,USDC,17142244.579621000000000000,17137282.59,0.99971054
0xd5b32c3e9021c8b6c73f6b86e5652693d4be4ab5,WETH,6066.082176554964000000,17136311.68,2824.93892778
0x06c05fbac28826fa24b5fe806f239277d8b5a9fd,WETH,6063.849806708464000000,17130005.37,2824.93892778
0x079e5016e76098e664499d2ec36d56aa1bc9f5e0,WETH,6060.673447298564500000,17121032.35,2824.93892778
0xbb1aca5df175b5f0268fdd53e53c1bef3ced02c7,USDC,16992397.004250000000000000,16987478.39,0.99971054
0x931bf367dad3f181af5304961bc5092722eea8aa,USDC,16957765.502099000000000000,16952856.91,0.99971054
0xce344e5ad5bab578601cbf8ad103506588d38455,USDC,16910383.541027000000000000,16905488.66,0.99971054
0x82de027c44006fe4260dce1e1861b04fc4811b71,WETH,5782.940443079969000000,16336453.57,2824.93892778
0x691cb02bf62a0bb2397bfae9a55f7380d415fff2,PYUSD,16137530.414993000000000000,16132048.50,0.99966030
0x949b9e1cdf8ff927e89d45229793c62206b858ee,USDC,16031553.936897000000000000,16026913.44,0.99971054
0xab59403c721eaa64a850474e63919573c0f0b767,USDT,15944902.599784000000000000,15944801.03,0.99999363
